methods,LV,Bruss,Pollution,PKPD
Forward-Mode DSAAD,0.132405813,0.609084345,0.056092561,0.318225133
Reverse-Mode DSAAD,0.2231239036666667,44.700191356,4.588494337,8.788107299
CASA User-Jacobian,0.42452082411111114,0.708055932,6.228537981,5.071970753
CASA AD-Jacobian,0.41801979366666664,0.605259526,3.082779946,5.118076505
CASA AD-Jv seeding,0.43641971699999993,1.515739199,7.779459038,5.232001986
Numerical Differentiation,0.096282512,4.709845124,0.281084457,1.283628702
