methods,LV,Bruss,Pollution,PKPD
Compile-time CSA,0.000111032,121.969199925,0.0,0.0
DSA,0.000177878,2.148290364,0.0176544,0.002243177
CSA user-Jacobian,0.000350917,262.156473061,1.130402789,0.017092057
AD-Jacobian,0.000515709,195.94546944,1.419908083,0.013643914
AD-Jv seeding,0.000423307,211.443612948,1.394881128,0.014825712
Numerical Differentiation,0.00046056,1.106827734,0.031741882,0.009291942
