methods,LV,Bruss,Pollution,PKPD
Compile-time CSA,0.1636690007777778,25.701517102,2.316040039,0.0
DSA,0.15225743255555557,0.49725735,0.067061405,2.482588466
CSA user-Jacobian,0.1982226698888889,39.344514955,2.941840591,4.720521713
CSA AD-Jacobian,0.19549173222222224,43.20760595,2.879380145,7.285271374
CSA AD-Jv seeding,0.19651205933333332,42.637575134,3.258885998,7.257299768
Numerical Differentiation,0.14503721855555557,7.125818324,0.290636637,11.397114764
